"","mbdepth","roughness","detrended","TPI","aspect"
"sessile.invertebrates",1,1,0.012,0.988,0
"rock",1,1,1,0,0
"sand",1,0,1,1,0
"seagrasses",1,1,1,0,0
"macroalgae",1.001,0.001,0.959,1.001,0.041
